hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
i love to play guitar , i was only three when i started <eos> my parents were killed by a clown when i was three . i was then adopted <eos> hi , how are you ? do you like country music ? i am a singer . <eos> it is alright . i am more of a pop fan myself <eos> sad , i am sorry , did they every caught the clown ? <eos> no . now i get scared whenever i see one <eos> lets be happy and not think about that , i love national parks <eos> i recently got a job ! now i work at a gas station <eos> do you like rascal flats ? they are my favorite band . <eos> not really . but my adopted dad likes them <eos> now that is something happy to talk about ! i work in the industry <eos> what industry do you work in ? <eos> okay , so tell me more about yourself <eos> i am single . though my dad keeps setting me up on blind dates <eos> in the factory , that is what i mean <eos>	cool . what do you make ?
i am addicted to the internet that is why i want to work from home <eos>	i love the internet it makes me think i can over take the world
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos>	it is a dream to work from home and play role play games
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos>	yes i use to paint for job . but now i am a maid or housekeeper
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos>	i know how you feel , i do not like being a veterinarian
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos>	at 56 i am looking forward to retirement
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos>	do you see blood as a maid ? it makes me faint .
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos> do you see blood as a maid ? it makes me faint . <eos>	i see just about everything no blood though .
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos> do you see blood as a maid ? it makes me faint . <eos> i see just about everything no blood though . <eos>	you are too young to retire , what you going to do ?
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos> do you see blood as a maid ? it makes me faint . <eos> i see just about everything no blood though . <eos> you are too young to retire , what you going to do ? <eos>	i may visit my grown children since they never visit me .
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos> do you see blood as a maid ? it makes me faint . <eos> i see just about everything no blood though . <eos> you are too young to retire , what you going to do ? <eos> i may visit my grown children since they never visit me . <eos>	that is so good to know , it really scares me
i am addicted to the internet that is why i want to work from home <eos> i love the internet it makes me think i can over take the world <eos> it is a dream to work from home and play role play games <eos> yes i use to paint for job . but now i am a maid or housekeeper <eos> i know how you feel , i do not like being a veterinarian <eos> at 56 i am looking forward to retirement <eos> do you see blood as a maid ? it makes me faint . <eos> i see just about everything no blood though . <eos> you are too young to retire , what you going to do ? <eos> i may visit my grown children since they never visit me . <eos> that is so good to know , it really scares me <eos>	as a older woman i wish i could have plastic surgery .
